Internal ID,Date,Document Number,Name,Currency,Amount (Foreign Currency),Amount
6902294,04/15/2019,SO54-01088,"Architectural Sheet Metal&Panels,LLC DBA Architectural Panel",USA,"$1,241.97",1241.97
6902293,04/15/2019,SO80-03778,"ABC Supply Company - Honolulu, HI",USA,"$5,280.00",5280
6902291,04/15/2019,SO52-01627,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,"$4,444.00",4444
6902190,04/15/2019,SO54-01087,"Architectural Sheet Metal&Panels,LLC DBA Architectural Panel",USA,"$20,940.00",20940
6900483,04/15/2019,SO54-01086,DIAMOND ROOFING,USA,"$20,330.39",20330.39
6900080,04/15/2019,SO51-00621,ABC SUPPLY - ADMIRAL : LEWISTON - ABPC00-9,USA,"$15,456.00",15456
6899979,04/15/2019,SO53-00596,"ADAX METALS, INC.",USA,"$3,981.68",3981.68
6899574,04/15/2019,SO53-00595,DIVERSIFIED PROTECTIVE SYSTEMS DBA CUSTOM METAL ROOF SYSTEMS,USA,"$1,039.20",1039.2
6899573,04/15/2019,SO52-01626,HOWE CONTRACTING,USA,"$1,369.50",1369.5
6899468,04/15/2019,SO80-03777,Metal Construction Technologies Co,USA,"$14,360.00",14360
6899459,04/15/2019,SO54-01085,Western Architectural Metals (SMI),USA,"$1,225.00",1225
6899335,04/15/2019,SO52-01625,"ARVESEN ENTERPRISES, INC. dba AAA METAL WORKS",USA,"$1,586.50",1586.5
6899332,04/15/2019,SO53-00594,E.T.A.S.,USA,"$8,889.30",8889.3
6898166,04/15/2019,SO51-00620,LAYNE ROOFING,USA,"$1,578.43",1578.43
6897849,04/15/2019,SO80-03776,Mile High Seamless Gutters,USA,$420.25,420.25
6896565,04/15/2019,SO54-01084,Western Building Supply,USA,$300.00,300
6896459,04/15/2019,SO54-01083,Custom Sheet Metal Inc,USA,$162.75,162.75
6895073,04/15/2019,SO51-00619,ABC SUPPLY - ADMIRAL : LEWISTON - ABPC00-9,USA,"$3,498.80",3498.8
6894646,04/15/2019,SO53-00593,Roofs Inc,USA,"$3,709.00",3709
6893720,04/15/2019,SO53-00592,MATT BELL CONSTRUCTION,USA,$182.74,182.74
6893404,04/15/2019,SO51-00618,DURO-LAST ROOFING INC. : SAGINAW - DLR000-10,USA,"$19,697.86",19697.86
6892988,04/15/2019,SO52-01624,CHWY BARRON - CPU ACWORTH,USA,"$2,141.20",2141.2
6892674,04/15/2019,SO51-00617,P&K SHEET METAL INC.,USA,"$2,124.00",2124
6892463,04/15/2019,SO51-00616,Solis General Contractors Inc,USA,"$4,758.81",4758.81
6891539,04/15/2019,SO51-00615,"METAL PANEL SYSTEMS, INC. : WEST CHESTER - MPSI00",USA,$594.17,594.17
6891434,04/15/2019,SO51-00614,John Baird,USA,"$1,190.00",1190
6891433,04/15/2019,SO55SJ-00129,ROOF METAL SERVICES : MANTECA - RMA002,USA,$43.20,43.2
6890081,04/15/2019,SO52-01623,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,$483.20,483.2
6890072,04/15/2019,SO51-00613,WALNUT CREEK METALS,USA,"$6,351.63",6351.63
6889957,04/15/2019,SO52-01622,GEORGIA ROOF & BLDG PANEL,USA,$184.00,184
